Name,Tag,Tag Type,Address,Permissions,Operation
Coil1,PLC_CYCLE_STOPPED,BIT,1000,Read/Write,
Coil2,PLC_CYCLE_RUNNING,BIT,1001,Read/Write,
Coil3,PICK_ERROR,BIT,1002,Read/Write,
Coil4,PICK_TO_ASSEMBLY_IN_PROCESS,BIT,1003,Read/Write,
Coil5,PICK_TO_ASSEMBLY_COMPLETE,BIT,1004,Read/Write,
Coil6,PICK_TO_RECEIVING_IN_PROCESS,BIT,1005,Read/Write,
Coil7,PICK_TO_RECEIVING_COMPLETE,BIT,1006,Read/Write,
Coil8,PICK_TO_WAREHOUSE_IN_PROCESS,BIT,1007,Read/Write,
Coil9,PICK_TO_WAREHOUSE_COMPLETE,BIT,1008,Read/Write,
Coil10,PICK BIN 01,BIT,2000,Read/Write,
Coil11,PICK BIN 02,BIT,2001,Read/Write,
Coil12,PICK BIN 03,BIT,2002,Read/Write,
Coil13,PICK BIN 04,BIT,2003,Read/Write,
Coil14,PICK BIN 05,BIT,2004,Read/Write,
Coil15,PICK BIN 06,BIT,2005,Read/Write,
Coil16,PICK BIN 07,BIT,2006,Read/Write,
Coil17,PICK BIN 08,BIT,2007,Read/Write,
Coil18,PICK BIN 09,BIT,2008,Read/Write,
Coil19,PICK BIN 10,BIT,2009,Read/Write,
Coil20,PICK BIN 11,BIT,2010,Read/Write,
Coil21,PICK BIN 12,BIT,2011,Read/Write,
Coil22,TO RECEIVING STA 1,BIT,2020,Read/Write,
Coil23,FROM RECEIVING STA 1,BIT,2021,Read/Write,
Coil24,TO ASSEMBLY STA 2,BIT,2022,Read/Write,
Coil25,FROM ASSEMBLY STA 2,BIT,2023,Read/Write,
